,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
577124,5595028,C1=C([C@H](CC(C)=C)N)OC(CC)=C1,MCULE-3799902944,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1BC0>,3.2642285352139,179.263,2.808,2.808
165759,2204992,C1(NN)C(=CC=CN=1)C,MCULE-1442368779,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1B70>,2.11764831491786,123.159,0.67562,0.67562
402340,4221351,C1(CC(N)C(O)=O)=NC=C(C)C=C1,MCULE-9990775207,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1B20>,2.53390326048863,180.207,0.34442,0.34442
52540,513485,C12SCCCN1C(=CC(=O)N=2)O,MCULE-7869402930,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1AD0>,3.16916644828567,184.22,0.4447,0.4447
563705,5468799,NOC1=CC2=CC=CC=C2O1,MCULE-8757327725,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1A80>,2.61509793245108,149.149,1.6853,1.6853
5436,61428,N1(N)C(CO)=NN=C1S,MCULE-6579053251,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1A30>,3.35886646876402,146.175,-1.2271,-1.2271
417907,4271343,C1(=CC=CC=C1OCC(C)C)C(C)O,MCULE-8953251342,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F19E0>,2.24874802908113,194.274,2.7747,2.7747
336320,3839567,S1CCSC2=CC=CC=C12,MCULE-6589184856,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1990>,2.52374628975244,168.286,2.8844,2.8844
335309,3837666,C1(C(CC)=O)=CC=C(C)O1,MCULE-1787301434,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1940>,2.15066423847038,138.166,2.18072,2.18072
291553,3546875,N(=O)(=O)/C=C/C1=CC=CC=C1,MCULE-6515844803,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F18F0>,2.02408867376621,149.149,1.934,1.934
552294,5407532,COC1C=CC(N)=C(C(C)C)C=1,MCULE-4273595620,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F18A0>,1.80750742679245,165.236,2.4008,2.4008
531698,5130904,O=C1C2C(=CC=CC=2)[C@H]2[C@@H]1CNC2,MCULE-9462931440,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1850>,3.19644367354779,173.215,1.1859,1.1859
5355,61154,C1(CCCNC1=O)C(OCC)=O,MCULE-1765805158,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1800>,2.8192390379216,171.196,0.0756999999999999,0.0756999999999999
26722,280349,C1(=CC=CC=C1OC)C=O,MCULE-4690415185,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F17B0>,1.57567705898321,136.15,1.5077,1.5077
100160,1142510,CCNC(CC1=CC=CC=C1)COC,MCULE-3331739051,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1760>,2.21845519507304,193.29,1.8536,1.8536
368032,4117287,COC1C=C2OCCNC2=CC=1,MCULE-9567922441,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F1710>,2.14761408888037,165.192,1.4995,1.4995
179761,2356504,C1([C@H](C)N)=NN=C(SC)O1,MCULE-5740967424,<rdkit.Chem.rdchem.Mol object at 0x00000140C56F16C0>,3.35948012990256,159.214,0.8112,0.8112
